Emp ID,work life balance,job satisfaction,Environment satisfaction
1,excellent,high,satisfied
2,fair,very high,Very Dissatisfied
3,excellent,very high,Very Dissatisfied
4,excellent,very high,satisfied
5,good,very high,satisfied
6,good,very high,Extremely Satisfied
7,good,very high,satisfied
8,excellent,very high,Very Dissatisfied
9,excellent,high,satisfied
10,fair,very high,Very Dissatisfied
11,excellent,very high,satisfied
12,fair,high,satisfied
13,good,very high,Very Dissatisfied
14,good,high,satisfied
15,excellent,very high,High satisfied
16,fair,very high,High satisfied
17,excellent,high,High satisfied
18,excellent,very high,Very Dissatisfied
19,good,very high,High satisfied
20,good,high,High satisfied
21,excellent,very high,High satisfied
22,excellent,very high,satisfied
23,excellent,very high,Very Dissatisfied
24,good,very high,High satisfied
25,excellent,high,Very Dissatisfied
26,good,very high,satisfied
27,good,very high,Very Dissatisfied
28,excellent,very high,satisfied
29,excellent,high,Very Dissatisfied
30,excellent,very high,High satisfied
31,excellent,very high,satisfied
32,excellent,high,Very Dissatisfied
33,fair,high,High satisfied
34,excellent,very high,Very Dissatisfied
35,excellent,very high,Very Dissatisfied
36,good,very high,Very Dissatisfied
37,fair,Medium,Very Dissatisfied
38,good,very high,High satisfied
39,excellent,very high,Very Dissatisfied
40,excellent,very high,satisfied
41,good,very high,satisfied
42,good,Medium,Very Dissatisfied
43,excellent,very high,Very Dissatisfied
44,excellent,very high,Very Dissatisfied
45,excellent,very high,Very Dissatisfied
46,good,Medium,Very Dissatisfied
47,good,Medium,satisfied
48,excellent,very high,Very Dissatisfied
49,good,very high,Extremely Satisfied
50,excellent,very high,satisfied
51,good,very high,Extremely Satisfied
52,good,very high,satisfied
53,fair,very high,High satisfied
54,good,Medium,satisfied
55,good,high,Very Dissatisfied
56,excellent,very high,satisfied
57,good,very high,Very Dissatisfied
58,fair,Medium,satisfied
59,excellent,very high,Extremely Satisfied
60,good,very high,Extremely Satisfied
61,good,high,satisfied
62,excellent,very high,Very Dissatisfied
63,excellent,very high,Very Dissatisfied
64,good,very high,satisfied
65,good,very high,Very Dissatisfied
66,excellent,very high,Extremely Satisfied
67,fair,very high,High satisfied
68,fair,very high,High satisfied
69,fair,very high,satisfied
70,good,very high,Very Dissatisfied
71,fair,very high,Very Dissatisfied
72,excellent,very high,satisfied
73,excellent,high,Very Dissatisfied
74,good,very high,High satisfied
75,good,Medium,Extremely Satisfied
76,excellent,very high,Very Dissatisfied
77,excellent,very high,Very Dissatisfied
78,fair,very high,satisfied
79,excellent,high,satisfied
80,good,very high,Very Dissatisfied
81,fair,very high,Very Dissatisfied
82,excellent,very high,High satisfied
83,fair,high,Very Dissatisfied
84,excellent,very high,Very Dissatisfied
85,excellent,very high,satisfied
86,excellent,very high,satisfied
87,excellent,Medium,Very Dissatisfied
88,excellent,very high,satisfied
89,fair,very high,satisfied
90,excellent,very high,satisfied
91,fair,very high,satisfied
92,excellent,very high,High satisfied
93,good,high,Extremely Satisfied
94,excellent,high,satisfied
95,good,high,Very Dissatisfied
96,excellent,very high,Very Dissatisfied
97,good,Medium,satisfied
98,excellent,high,Very Dissatisfied
99,excellent,very high,High satisfied
100,excellent,very high,satisfied
101,good,very high,satisfied
102,excellent,high,satisfied
103,excellent,Medium,Very Dissatisfied
104,excellent,very high,Very Dissatisfied
105,excellent,very high,Extremely Satisfied
106,good,very high,Very Dissatisfied
107,excellent,very high,Very Dissatisfied
108,good,high,satisfied
109,excellent,very high,satisfied
110,fair,very high,High satisfied
111,good,high,satisfied
112,good,very high,satisfied
113,excellent,high,Very Dissatisfied
114,excellent,high,Very Dissatisfied
115,good,Medium,Very Dissatisfied
116,excellent,very high,Very Dissatisfied
117,excellent,Medium,satisfied
118,excellent,high,Very Dissatisfied
119,excellent,very high,Very Dissatisfied
120,excellent,Medium,Very Dissatisfied
121,good,very high,satisfied
122,excellent,very high,Very Dissatisfied
123,excellent,very high,satisfied
124,good,high,satisfied
125,excellent,very high,High satisfied
126,good,very high,satisfied
127,excellent,Medium,Very Dissatisfied
128,excellent,very high,Very Dissatisfied
129,good,very high,Extremely Satisfied
130,good,very high,satisfied
131,fair,very high,Very Dissatisfied
132,excellent,very high,satisfied
133,excellent,very high,Very Dissatisfied
134,good,very high,Very Dissatisfied
135,excellent,Medium,High satisfied
136,excellent,very high,Very Dissatisfied
137,good,very high,satisfied
138,excellent,high,High satisfied
139,excellent,very high,Very Dissatisfied
140,good,very high,High satisfied
141,fair,very high,satisfied
142,excellent,very high,satisfied
143,excellent,very high,Very Dissatisfied
144,excellent,very high,Very Dissatisfied
145,good,very high,satisfied
146,excellent,very high,satisfied
147,excellent,very high,Very Dissatisfied
148,fair,very high,Very Dissatisfied
149,fair,very high,High satisfied
150,excellent,very high,satisfied
151,good,very high,Very Dissatisfied
152,good,very high,satisfied
153,excellent,very high,High satisfied
154,good,very high,satisfied
155,excellent,very high,satisfied
156,good,Medium,High satisfied
157,excellent,high,satisfied
158,good,very high,Extremely Satisfied
159,good,Medium,Very Dissatisfied
160,excellent,Medium,satisfied
161,good,very high,satisfied
162,good,very high,Very Dissatisfied
163,excellent,very high,High satisfied
164,excellent,very high,satisfied
165,excellent,Medium,Very Dissatisfied
166,fair,high,satisfied
167,fair,Medium,Very Dissatisfied
168,excellent,very high,satisfied
169,good,very high,Very Dissatisfied
170,excellent,Medium,Very Dissatisfied
171,excellent,very high,satisfied
172,fair,very high,Very Dissatisfied
173,excellent,Medium,satisfied
174,excellent,very high,satisfied
175,excellent,high,satisfied
176,excellent,very high,Very Dissatisfied
