Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Under paid,employee_count,Over Worked ,Number of Promotions,Year Since Last Promotion ,Salary Hike %,Number of company worked,Overtime,Distance from Home,Commute Category,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition
1,31,Male,19,Education,5390,0,1,0,2,4,14,2,No,22,Medium,Associate Degree,Married,0,Mid,Medium,89,No,No,No,Excellent,Medium,Stayed
2,59,Female,4,Media,5534,1,1,0,3,1,7,0,No,21,Medium,Master’s Degree,Divorced,3,Mid,Medium,21,No,No,No,Fair,Low,Stayed
3,24,Female,10,Healthcare,8159,0,1,0,0,0,8,6,No,11,Medium,Bachelor’s Degree,Married,3,Mid,Medium,74,No,No,No,Poor,Low,Stayed
4,36,Female,7,Education,3989,1,1,0,1,1,19,5,No,27,Medium,High School,Single,2,Mid,Small,50,Yes,No,No,Good,Medium,Stayed
5,56,Male,41,Education,4821,0,1,0,0,0,6,0,Yes,71,Far,High School,Divorced,0,Senior,Medium,68,No,No,No,Fair,Medium,Stayed
6,38,Female,3,Technology,9977,0,1,0,3,1,19,3,No,37,Far,Bachelor’s Degree,Married,0,Mid,Medium,47,No,No,Yes,Fair,High,Left
7,47,Male,23,Education,3681,1,1,0,1,3,12,5,Yes,75,Far,High School,Divorced,3,Entry,Small,93,No,No,No,Good,Medium,Left
8,48,Male,16,Finance,11223,0,1,0,2,4,8,5,No,5,Near,Master’s Degree,Married,4,Entry,Medium,88,No,No,No,Excellent,Low,Stayed
9,57,Male,44,Education,3773,1,1,0,1,1,12,2,Yes,39,Far,High School,Married,4,Entry,Medium,75,No,No,No,Fair,Medium,Stayed
10,24,Female,1,Healthcare,7319,1,1,1,1,2,11,7,Yes,57,Far,PhD,Single,4,Entry,Large,45,No,No,Yes,Good,Low,Left
11,30,Female,12,Education,5443,0,1,0,1,4,11,5,No,51,Far,High School,Single,1,Entry,Small,17,No,No,No,Good,Medium,Left
12,29,Female,6,Healthcare,8950,0,1,0,2,4,24,3,No,26,Medium,Master’s Degree,Single,0,Mid,Medium,38,No,No,No,Poor,Medium,Left
13,47,Female,38,Technology,9039,1,1,0,1,1,5,3,No,78,Far,Associate Degree,Married,0,Entry,Small,68,No,No,No,Good,Low,Left
14,31,Male,22,Healthcare,8090,0,1,0,4,4,18,5,Yes,30,Medium,Associate Degree,Divorced,2,Mid,Small,84,No,No,No,Good,Medium,Stayed
15,40,Female,30,Technology,6350,1,1,0,0,0,17,1,No,98,Far,High School,Single,0,Senior,Large,96,No,No,No,Good,High,Stayed
16,40,Female,4,Finance,5176,1,1,0,0,0,28,4,No,48,Far,High School,Single,0,Entry,Small,21,Yes,No,No,Good,High,Left
