Emp ID,PerformanceRating,job involvement,
1,Average,moderate involvement,
2,low,high involvement,
3,low,low involvement,
4,high,low involvement,
5,Average,low involvement,
6,below average,high involvement,
7,high,low involvement,
8,high,moderate involvement,
9,high,low involvement,
10,Average,low involvement,
11,Average,low involvement,
12,low,moderate involvement,
13,high,low involvement,
14,high,very high involvement,
15,Average,low involvement,
16,Average,low involvement,
17,Average,moderate involvement,
18,below average,low involvement,
19,high,moderate involvement,
20,Average,low involvement,
21,Average,moderate involvement,
22,Average,low involvement,
23,high,low involvement,
24,Average,low involvement,
25,Average,low involvement,
26,Average,low involvement,
27,high,low involvement,
28,Average,low involvement,
29,Average,low involvement,
30,Average,low involvement,
31,Average,low involvement,
32,Average,low involvement,
33,Average,low involvement,
34,Average,low involvement,
35,below average,low involvement,
36,below average,low involvement,
37,Average,moderate involvement,
38,Average,moderate involvement,
39,Average,moderate involvement,
40,Average,moderate involvement,
41,Average,low involvement,
42,Average,low involvement,
43,below average,moderate involvement,
44,below average,low involvement,
45,Average,moderate involvement,
46,high,low involvement,
47,high,low involvement,
48,below average,low involvement,
49,Average,low involvement,
50,Average,low involvement,
51,Average,low involvement,
52,high,low involvement,
53,Average,low involvement,
54,Average,low involvement,
55,Average,moderate involvement,
56,Average,low involvement,
57,low,high involvement,
58,Average,low involvement,
59,Average,low involvement,
60,below average,low involvement,
61,Average,low involvement,
62,Average,low involvement,
63,Average,moderate involvement,
64,Average,low involvement,
65,Average,moderate involvement,
66,below average,low involvement,
67,Average,low involvement,
68,below average,low involvement,
69,low,low involvement,
70,high,low involvement,
71,high,low involvement,
72,Average,low involvement,
73,Average,low involvement,
74,Average,low involvement,
75,Average,moderate involvement,
76,Average,low involvement,
77,high,low involvement,
78,Average,low involvement,
79,below average,low involvement,
80,Average,moderate involvement,
81,Average,moderate involvement,
82,below average,low involvement,
83,below average,low involvement,
84,high,low involvement,
85,Average,low involvement,
86,below average,low involvement,
87,Average,low involvement,
88,high,low involvement,
89,below average,low involvement,
90,high,low involvement,
91,below average,low involvement,
92,high,low involvement,
93,Average,low involvement,
94,high,moderate involvement,
95,Average,low involvement,
96,low,low involvement,
97,Average,low involvement,
98,Average,low involvement,
99,Average,low involvement,
100,high,low involvement,
101,high,low involvement,
102,high,low involvement,
103,low,high involvement,
104,high,low involvement,
105,Average,moderate involvement,
106,Average,low involvement,
107,Average,low involvement,
108,Average,low involvement,
109,low,low involvement,
110,below average,low involvement,
111,Average,low involvement,
112,high,low involvement,
113,high,low involvement,
114,Average,low involvement,
115,below average,low involvement,
116,below average,low involvement,
117,Average,low involvement,
118,Average,low involvement,
119,Average,moderate involvement,
120,Average,low involvement,
121,high,moderate involvement,
122,below average,low involvement,
123,high,moderate involvement,
124,low,low involvement,
125,Average,low involvement,
126,Average,moderate involvement,
127,Average,moderate involvement,
128,Average,low involvement,
129,high,low involvement,
130,high,low involvement,
131,Average,low involvement,
132,Average,low involvement,
133,low,low involvement,
134,Average,low involvement,
135,Average,low involvement,
136,low,low involvement,
137,Average,high involvement,
138,Average,low involvement,
139,high,low involvement,
140,Average,low involvement,
141,below average,low involvement,
142,Average,low involvement,
143,high,low involvement,
144,Average,moderate involvement,
145,Average,low involvement,
146,high,low involvement,
147,high,moderate involvement,
148,Average,low involvement,
149,high,low involvement,
150,below average,low involvement,
151,Average,low involvement,
152,Average,moderate involvement,
153,Average,low involvement,
154,Average,moderate involvement,
155,Average,low involvement,
156,low,low involvement,
157,Average,moderate involvement,
158,high,low involvement,
159,below average,low involvement,
160,Average,moderate involvement,
161,below average,high involvement,
162,Average,low involvement,
163,below average,moderate involvement,
164,Average,low involvement,
165,Average,low involvement,
166,high,low involvement,
167,Average,low involvement,
168,high,low involvement,
169,Average,low involvement,
170,Average,low involvement,
171,below average,low involvement,
172,Average,low involvement,
173,Average,low involvement,
174,Average,low involvement,
175,Average,low involvement,
176,high,low involvement,
177,Average,low involvement,
178,Average,moderate involvement,
179,high,low involvement,
180,Average,low involvement,
181,Average,moderate involvement,
182,below average,low involvement,
183,Average,low involvement,
184,Average,low involvement,
185,below average,low involvement,
186,high,low involvement,
187,Average,low involvement,
188,Average,low involvement,
189,Average,low involvement,
190,high,moderate involvement,
191,below average,low involvement,
192,Average,low involvement,
193,high,moderate involvement,
194,Average,moderate involvement,
195,high,moderate involvement,
196,Average,low involvement,
197,Average,low involvement,
198,high,low involvement,
199,high,moderate involvement,
200,high,low involvement,
201,Average,high involvement,
202,below average,low involvement,
203,high,low involvement,
204,below average,low involvement,
205,below average,low involvement,
206,Average,low involvement,
207,high,low involvement,
208,Average,low involvement,
209,Average,low involvement,
210,Average,low involvement,
211,Average,low involvement,
212,Average,low involvement,
213,Average,low involvement,
214,below average,moderate involvement,
215,below average,low involvement,
216,Average,moderate involvement,
217,below average,low involvement,
218,Average,moderate involvement,
219,below average,low involvement,
220,below average,low involvement,
221,Average,low involvement,
222,Average,low involvement,
223,low,low involvement,
224,Average,low involvement,
225,Average,low involvement,
226,Average,high involvement,
227,Average,low involvement,
228,Average,low involvement,
229,Average,low involvement,
230,below average,low involvement,
231,below average,low involvement,
232,high,moderate involvement,
233,Average,low involvement,
234,high,moderate involvement,
235,high,low involvement,
236,Average,low involvement,
237,Average,low involvement,
238,Average,low involvement,
239,low,low involvement,
240,Average,low involvement,
241,Average,low involvement,
242,Average,low involvement,
243,Average,low involvement,
244,high,moderate involvement,
245,below average,low involvement,
246,Average,low involvement,
247,Average,low involvement,
248,high,low involvement,
249,Average,low involvement,
250,high,low involvement,
251,high,low involvement,
252,Average,low involvement,
253,Average,low involvement,
254,high,moderate involvement,
255,Average,moderate involvement,
256,below average,low involvement,
257,Average,moderate involvement,
258,Average,low involvement,
259,below average,low involvement,
260,Average,moderate involvement,
261,high,low involvement,
262,Average,moderate involvement,
263,Average,low involvement,
264,high,low involvement,
265,Average,low involvement,
266,Average,low involvement,
267,high,moderate involvement,
268,high,moderate involvement,
269,below average,low involvement,
270,Average,moderate involvement,
271,Average,low involvement,
272,Average,moderate involvement,
273,Average,high involvement,
274,Average,low involvement,
275,Average,low involvement,
276,high,low involvement,
277,Average,low involvement,
278,Average,low involvement,
279,Average,low involvement,
280,below average,moderate involvement,
281,high,low involvement,
282,Average,low involvement,
283,high,very high involvement,
284,Average,low involvement,
285,high,low involvement,
286,Average,low involvement,
287,Average,moderate involvement,
288,Average,moderate involvement,
289,Average,moderate involvement,
290,below average,low involvement,
291,high,low involvement,
292,high,high involvement,
293,high,high involvement,
294,high,low involvement,
295,Average,low involvement,
296,Average,low involvement,
297,Average,very high involvement,
298,Average,low involvement,
299,Average,moderate involvement,
300,Average,low involvement,
301,Average,low involvement,
302,Average,low involvement,
303,Average,low involvement,
304,Average,high involvement,
305,high,low involvement,
306,Average,low involvement,
307,Average,low involvement,
308,high,high involvement,
309,Average,low involvement,
310,Average,moderate involvement,
311,Average,low involvement,
312,Average,moderate involvement,
313,Average,moderate involvement,
314,Average,low involvement,
315,Average,low involvement,
316,high,low involvement,
317,high,low involvement,
318,Average,moderate involvement,
319,Average,low involvement,
320,Average,moderate involvement,
321,Average,low involvement,
322,Average,low involvement,
323,Average,low involvement,
324,Average,low involvement,
325,Average,low involvement,
326,Average,moderate involvement,
327,Average,low involvement,
